연번,시도,시군구,읍면동,우편번호,주소,위도,경도
122,서울,성북구,길음제1동,2724,서울특별시 성북구 길음로 92,37.6104465,127.0195043
123,서울,성북구,길음제2동,2732,서울특별시 성북구 삼양로2길 70,37.6066765,127.0272892
124,서울,성북구,종암동,2797,서울특별시 성북구 종암로 98-8,37.5989971,127.0351109
125,서울,성북구,월곡제1동,2741,서울특별시 성북구 오패산로 96,37.6105351,127.0357665
126,서울,성북구,월곡제2동,2793,서울특별시 성북구 화랑로 152,37.6058151,127.0479831
127,서울,성북구,장위제1동,2756,서울특별시 성북구 장위로 61,37.6140731,127.043674
128,서울,성북구,장위제2동,2770,서울특별시 성북구 돌곶이로27길 12,37.6123476,127.0545097
129,서울,성북구,장위제3동,2774,서울특별시 성북구 한천로 657,37.6165325,127.0565892
130,서울,성북구,석관동,2781,서울특별시 성북구 화랑로 296,37.6130426,127.0614713
131,서울,강북구,삼양동,1127,서울특별시 강북구 솔매로 69,37.6249939,127.0198552
132,서울,강북구,미아동,1133,서울특별시 강북구 솔매로49길 14,37.6270621,127.0269669
133,서울,강북구,송중동,1233,서울특별시 강북구 오패산로 162,37.616114,127.033754
134,서울,강북구,송천동,1202,서울특별시 강북구 솔샘로 284,37.6182552,127.0238135
135,서울,강북구,삼각산동,1199,서울특별시 강북구 삼양로19길 34,37.6151877,127.0207587
136,서울,강북구,번1동,1059,서울특별시 강북구 덕릉로41길 74,37.6378634,127.0288192
137,서울,강북구,번2동,1145,서울특별시 강북구 한천로 897,37.6322105,127.0388226
138,서울,강북구,번3동,1230,서울특별시 강북구 한천로105길 21,37.6258518,127.0466112
139,서울,강북구,수유1동,1103,서울특별시 강북구 삼양로 299,37.6300774,127.0176093
140,서울,강북구,수유2동,1040,서울특별시 강북구 한천로 1117,37.6446393,127.0198721
141,서울,강북구,수유3동,1072,서울특별시 강북구 노해로 36,37.6387067,127.0230924
142,서울,강북구,우이동,1011,서울특별시 강북구 삼양로 139길 49,37.6479249,127.0119122
143,서울,강북구,인수동,1021,서울특별시 강북구 인수봉로 255,37.6414727,127.01064
144,서울,도봉구,쌍문제1동 ,1381,서울특별시 도봉구 노해로 147 ,37.6479952,127.0260526
145,서울,도봉구,쌍문제2동 ,1392,서울특별시 도봉구 도봉로138길 21,37.6675936,127.0403191
146,서울,도봉구,쌍문제3동 ,1445,서울특별시 도봉구 노해로44길9,37.6489438,127.0279877
147,서울,도봉구,쌍문제4동 ,1429,서울특별시 도봉구 시루봉로 62-7,37.6564869,127.0284248
148,서울,도봉구,방학제1동 ,1345,서울특별시 도봉구 방학로2길 27,37.6642298,127.0406833
149,서울,도봉구,방학제2동 ,1347,서울특별시 도봉구 시루봉로 226,37.6682104,127.0350377
150,서울,도봉구,방학제3동 ,1382,서울특별시 도봉구 시루봉로 94,37.6591919,127.0279289
151,서울,도봉구,창제1동 ,1421,서울특별시 도봉구 해등로 46,37.6536117,127.032766
152,서울,도봉구,창제2동 ,1466,서울특별시 도봉구 덕릉로59길 73-3,37.6414212,127.0356013
153,서울,도봉구,창제3동 ,1487,서울특별시 도봉구 덕릉로62길 89,37.6380062,127.0428806
154,서울,도봉구,창제4동 ,1418,서울특별시 도봉구 노해로 390,37.6522395,127.051542
155,서울,도봉구,창제5동 ,1400,서울특별시 도봉구 도봉로136나길 20,37.6562875,127.0435916
156,서울,도봉구,도봉제1동 ,1306,서울특별시 도봉구 도봉로169나길 22,37.6786728,127.0433808
157,서울,도봉구,도봉제2동 ,1330,서울특별시 도봉구 마들로 668,37.6697793,127.0465504
158,서울,노원구,월계1동,1896,서울특별시 노원구 석계로 59,37.6199215,127.0629832
159,서울,노원구,월계2동,1868,서울특별시 노원구 초안산로5길 28,37.6325094,127.0507801
160,서울,노원구,월계3동,1911,서울특별시 노원구 마들로 57,37.6209624,127.0692653
